loan_id,customer_id,company_name,incorporation_date,industry_code (NAICS),registration_type,region,number_of_employees,loan_amount ($),interest_rate (%),term_months,issue_date,repayment_schedule,report_date,revenue ($),profit_after_tax ($),EBITDA ($),operating_margin (%),current_assets ($),current_liabilities ($),payment_date,amount_paid ($),outstanding_balance ($),credit_score,prior_defaults_count,prior_loans_count,bank_account_transactions (Count/Month),GST/Tax filing delays (Past 12 M),digital_payments_volume ($/Month),default_flag (0/1)
L001,CUST101,Innovatech Solutions,2018-03-10,541511,Private Limited,West,15,45000,10.25,36,2023-01-15,Monthly,2022-12-31,550000,45000,65000,11.8,120000,50000,2024-03-15,1350,38900,750,0,1,85,0,15000,0
L002,CUST102,Green Harvest Foods,2015-07-22,311999,Partnership,North,45,120000,8.5,48,2022-09-01,Quarterly,2022-12-31,1800000,110000,180000,10,450000,200000,2024-04-01,10500,105000,780,0,2,120,0,30000,0
L003,CUST103,Local Retail Hub,2021-11-05,448140,Sole Proprietorship,South,5,25000,11.5,24,2023-05-20,Monthly,2022-12-31,300000,20000,28000,9.3,60000,35000,2024-03-20,0,20000,640,1,1,55,2,8000,1
L004,CUST104,Metro Logistics,2017-01-25,493110,Private Limited,East,30,75000,9,60,2022-11-10,Monthly,2022-12-31,950000,70000,105000,11,250000,150000,2024-03-10,1400,68500,720,0,3,150,0,20000,0
L005,CUST105,City Plumbing Services,2020-04-12,238220,Sole Proprietorship,West,8,150000,9.75,36,2023-02-28,Quarterly,2022-12-31,400000,15000,35000,8.75,75000,45000,2024-04-01,0,135000,660,1,4,70,1,5000,1
L006,CUST106,Alpha Consulting Group,2019-09-01,541611,Private Limited,Central,22,30000,12,36,2023-07-01,Monthly,2022-12-31,850000,60000,95000,11.2,190000,80000,2024-04-01,0,28000,600,2,2,90,3,12000,1
L007,CUST107,Coastal E-Commerce,2016-05-18,454110,Partnership,South,12,60000,10.5,48,2022-10-18,Monthly,2022-12-31,700000,55000,80000,11.4,150000,65000,2024-03-18,1600,50000,740,0,1,110,0,18000,0
L008,CUST108,Midwest Manufacturing,2014-02-28,332999,Private Limited,North,55,90000,8,60,2023-03-05,Monthly,2022-12-31,2200000,150000,250000,11.3,600000,250000,2024-03-05,1750,85000,790,0,5,160,0,35000,0
L009,CUST109,Urban Cleaning Co.,2022-01-15,561720,Sole Proprietorship,East,4,40000,13,24,2023-06-12,Monthly,2022-12-31,250000,10000,18000,7.2,40000,25000,2024-04-12,1850,30000,620,2,1,65,3,4000,0
L010,CUST110,Regional Telecom Inc.,2013-11-11,517311,Private Limited,West,75,100000,9.25,48,2022-12-01,Quarterly,2022-12-31,3500000,250000,400000,11.4,800000,350000,2024-04-01,8000,90000,770,0,4,180,0,45000,0
L011,CUST111,Art & Design Studio,2021-08-01,541430,Sole Proprietorship,South,6,20000,11,36,2023-08-01,Monthly,2022-12-31,180000,12000,16000,8.9,35000,20000,2024-03-01,0,18500,630,1,1,50,2,3000,1
L012,CUST112,Global Supply Chain,2015-04-04,484121,Private Limited,North,40,80000,8.75,60,2022-11-25,Monthly,2022-12-31,1500000,90000,150000,10,380000,180000,2024-03-25,1450,72000,755,0,3,130,0,22000,0
L013,CUST113,New Age Marketing,2019-06-20,541810,Partnership,Central,18,55000,10.75,36,2023-04-10,Monthly,2022-12-31,650000,50000,75000,11.5,140000,60000,2024-03-10,1650,50000,690,1,2,100,1,10000,0
L014,CUST114,Energy Solutions Corp,2012-10-30,221112,Private Limited,East,60,130000,9.5,48,2023-01-05,Quarterly,2022-12-31,2800000,200000,350000,12.5,700000,300000,2024-04-01,11000,115000,765,0,5,200,0,50000,0
L015,CUST115,Small Batch Bakery,2022-03-15,311811,Sole Proprietorship,West,7,35000,12.5,24,2023-07-22,Monthly,2022-12-31,320000,18000,25000,7.8,55000,30000,2024-04-22,0,32000,610,3,1,45,4,2000,1
L016,CUST116,Data Innovators LLC,2017-08-01,541512,Partnership,North,25,70000,9.1,60,2023-03-01,Monthly,2022-12-31,1100000,85000,120000,10.9,280000,140000,2024-03-01,1550,63000,735,0,2,135,0,25000,0
L017,CUST117,Mountain Trekking Gear,2016-11-10,451110,Private Limited,South,10,50000,10.8,36,2022-10-05,Monthly,2022-12-31,600000,40000,55000,9.2,110000,55000,2024-03-05,1400,42000,685,1,1,75,1,11000,0
L018,CUST118,Pioneer Hardware,2014-06-15,444130,Sole Proprietorship,East,9,45000,12.3,24,2023-09-15,Monthly,2022-12-31,450000,25000,35000,7.8,80000,40000,2024-04-15,0,40000,605,2,1,60,3,6000,1
L019,CUST119,Ocean Seafood Supplies,2018-05-20,311710,Private Limited,West,35,140000,8.25,48,2022-12-18,Quarterly,2022-12-31,1600000,100000,160000,10,400000,190000,2024-04-01,12000,125000,775,0,4,190,0,33000,0
L020,CUST120,Event Planners R Us,2020-02-05,561920,Partnership,Central,14,30000,11.6,36,2023-06-25,Monthly,2022-12-31,500000,35000,45000,9,90000,50000,2024-03-25,1000,27000,670,1,2,80,1,7000,0
L021,CUST121,Farm-to-Table Produce,2019-01-01,424480,Sole Proprietorship,North,6,20000,13.5,24,2023-08-10,Monthly,2022-12-31,220000,8000,15000,6.8,30000,18000,2024-04-10,0,18000,600,2,1,40,4,2500,1
L022,CUST122,Secure IT Services,2015-09-20,541519,Private Limited,South,50,110000,8.4,60,2022-11-01,Monthly,2022-12-31,2500000,180000,280000,11.2,650000,280000,2024-03-01,2000,100000,785,0,4,170,0,40000,0
L023,CUST123,Urban Real Estate,2013-04-12,531312,Partnership,East,33,85000,9.8,48,2023-02-15,Monthly,2022-12-31,1400000,100000,140000,10,350000,160000,2024-03-15,2200,75000,710,0,3,145,1,15000,0
L024,CUST124,Classic Car Restoration,2017-06-05,811121,Sole Proprietorship,West,11,40000,11.9,36,2023-05-01,Monthly,2022-12-31,420000,28000,38000,9,70000,35000,2024-04-01,1200,35000,650,1,1,65,2,5500,0
L025,CUST125,Global Pharma Distributors,2015-01-01,424210,Private Limited,Central,65,150000,8.3,60,2022-10-25,Quarterly,2022-12-31,3000000,220000,330000,11,750000,320000,2024-04-25,13000,135000,795,0,6,220,0,60000,0
L026,CUST126,Tech Support 24/7,2018-03-15,541513,Partnership,North,20,65000,10.3,48,2023-01-20,Monthly,2022-12-31,900000,65000,95000,10.6,200000,90000,2024-03-20,1700,58000,725,0,2,115,0,18000,0
L027,CUST127,City Courier Service,2020-10-10,492110,Sole Proprietorship,South,7,30000,12.8,36,2023-06-01,Monthly,2022-12-31,350000,15000,25000,7.1,50000,30000,2024-04-01,0,28000,615,2,1,55,3,4000,1
